Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;3P;3PA;2P;2PA;eFG%;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Salary_23-24
152;Naji Marshall;SF;24;NOP;55;4;13.4;2.0;4.9;0.4;1.9;1.6;3.0;.444;1.3;1.7;0.7;1.9;2.6;1.1;0.6;0.1;0.8;1.3;5.7;1930681
153;Caleb Martin;SF;26;MIA;60;12;22.9;3.5;6.8;1.1;2.6;2.4;4.3;.585;1.2;1.6;1.2;2.7;3.8;1.1;1.0;0.5;0.9;1.7;9.2;6802950
154;Cody Martin;SF;26;CHO;71;11;26.3;2.9;6.0;0.9;2.2;2.0;3.7;.554;1.1;1.5;1.2;2.9;4.0;2.5;1.2;0.5;0.9;1.6;7.7;7560000
155;Kenyon Martin Jr.;SF;21;HOU;79;2;21.0;3.5;6.6;0.8;2.1;2.8;4.5;.591;1.0;1.6;1.0;2.7;3.8;1.3;0.4;0.5;0.8;1.4;8.8;1930681
156;Garrison Mathews;SG;25;HOU;65;33;26.3;2.8;7.1;2.1;5.9;0.7;1.2;.550;2.2;2.8;0.5;2.4;2.9;1.0;0.9;0.4;0.6;2.6;10.0;2000000
157;Tyrese Maxey;PG;21;PHI;75;74;35.3;6.4;13.3;1.8;4.1;4.7;9.1;.552;2.8;3.3;0.3;2.9;3.2;4.3;0.7;0.4;1.2;2.1;17.5;4343920
158;Miles McBride;PG;21;NYK;40;2;9.3;0.8;2.7;0.4;1.7;0.4;1.0;.375;0.2;0.3;0.1;1.0;1.1;1.0;0.4;0.0;0.1;1.1;2.2;1836096
159;CJ McCollum;SG;30;TOT;62;62;34.6;8.6;18.8;2.9;7.6;5.7;11.2;.539;1.9;2.7;0.9;3.5;4.3;5.1;1.1;0.4;2.0;2.0;22.1;35802469
160;T.J. McConnell;PG;29;IND;27;8;24.1;3.7;7.7;0.4;1.2;3.3;6.5;.505;0.7;0.9;0.7;2.6;3.3;4.9;1.1;0.4;1.1;2.0;8.5;8700000
161;Jaden McDaniels;PF;21;MIN;70;31;25.8;3.6;7.9;1.1;3.6;2.5;4.3;.532;0.8;1.0;1.1;3.1;4.2;1.1;0.7;0.8;1.1;3.2;9.2;3901399
162;Doug McDermott;PF;30;SAS;51;51;24.0;4.2;9.1;2.1;5.0;2.1;4.1;.578;0.8;1.0;0.4;1.9;2.3;1.3;0.3;0.1;0.8;1.5;11.3;13750000
163;JaVale McGee;C;34;PHO;74;17;15.8;3.9;6.2;0.0;0.1;3.9;6.1;.631;1.4;2.0;2.2;4.5;6.7;0.6;0.3;1.1;1.3;2.4;9.2;5734280
164;Jordan McLaughlin;PG;25;MIN;62;3;14.5;1.4;3.2;0.4;1.4;1.0;1.9;.508;0.5;0.6;0.4;1.2;1.5;2.9;0.9;0.2;0.6;0.9;3.8;2320000
165;De'Anthony Melton;SG;23;MEM;73;15;22.7;3.8;9.5;1.9;5.1;1.9;4.4;.504;1.2;1.6;0.9;3.6;4.5;2.7;1.4;0.5;1.5;1.8;10.8;8000000
166;Sam Merrill;SG;25;MEM;6;0;9.7;1.3;4.0;1.2;3.8;0.2;0.2;.479;0.3;0.7;0.2;1.0;1.2;0.7;0.0;0.0;0.3;0.5;4.2;1997238
167;Patty Mills;SG;33;BRK;81;48;29.0;4.0;9.8;2.8;7.0;1.2;2.8;.551;0.6;0.7;0.2;1.7;1.9;2.3;0.6;0.2;0.9;1.4;11.4;6802950
168;Davion Mitchell;PG;23;SAC;75;19;27.7;4.7;11.2;1.3;4.3;3.3;7.0;.477;0.7;1.1;0.4;1.8;2.2;4.2;0.7;0.3;1.5;1.9;11.5;5063640
169;Donovan Mitchell;SG;25;UTA;67;67;33.8;9.2;20.5;3.5;9.8;5.7;10.8;.533;4.0;4.7;0.8;3.4;4.2;5.3;1.5;0.2;3.0;2.4;25.9;33162030
170;Evan Mobley;PF;20;CLE;69;69;33.8;6.1;12.0;0.3;1.3;5.8;10.7;.522;2.4;3.7;2.1;6.2;8.3;2.5;0.8;1.7;1.9;2.1;15.0;8882640
171;Malik Monk;SG;23;LAL;76;37;28.1;5.1;10.9;2.3;5.8;2.9;5.1;.578;1.2;1.5;0.5;2.9;3.4;2.9;0.8;0.4;1.6;1.8;13.8;9945830
172;Moses Moody;SG;19;GSW;52;11;11.7;1.5;3.5;0.8;2.1;0.8;1.4;.546;0.5;0.7;0.3;1.2;1.5;0.4;0.1;0.2;0.3;0.8;4.4;3918480
173;Ja Morant;PG;22;MEM;57;57;33.1;10.2;20.6;1.5;4.5;8.6;16.2;.530;5.5;7.3;1.4;4.4;5.7;6.7;1.2;0.4;3.4;1.5;27.4;33500000
174;Juwan Morgan;PF;24;TOT;2;0;15.5;1.0;1.5;0.5;1.0;0.5;0.5;.833;0.0;0.0;1.0;1.0;2.0;0.5;0.0;0.0;0.0;1.5;2.5;576230
175;Marcus Morris;PF;32;LAC;54;54;29.0;5.6;12.8;1.9;5.1;3.7;7.7;.507;2.4;2.7;0.5;3.9;4.4;2.1;0.5;0.3;1.3;2.1;15.4;17116279
176;Monte Morris;PG;26;DEN;75;74;29.9;5.0;10.3;1.7;4.2;3.3;6.1;.564;1.0;1.1;0.4;2.7;3.0;4.4;0.7;0.2;1.0;1.2;12.6;9800926
177;Trey Murphy III;SF;21;NOP;62;1;13.9;1.8;4.5;1.1;3.0;0.6;1.5;.522;0.7;0.8;0.8;1.6;2.4;0.6;0.4;0.1;0.3;1.0;5.4;3359280
178;Dejounte Murray;PG;25;SAS;68;68;34.8;8.4;18.3;1.4;4.3;7.0;13.9;.500;2.9;3.6;1.2;7.1;8.3;9.2;2.0;0.3;2.6;2.0;21.1;17714000
179;Mike Muscala;C;30;OKC;43;0;13.8;2.6;5.8;1.6;3.8;1.0;2.0;.597;1.1;1.3;0.5;2.5;3.0;0.5;0.4;0.6;0.3;1.3;8.0;3500000
180;Larry Nance Jr.;C-PF;29;TOT;46;11;22.6;2.8;5.4;0.5;1.5;2.3;3.8;.569;0.9;1.2;1.6;3.8;5.4;1.8;0.9;0.4;0.8;1.8;7.0;10375000
181;Aaron Nesmith;SF;22;BOS;52;3;11.0;1.4;3.5;0.6;2.2;0.8;1.3;.481;0.4;0.5;0.3;1.4;1.7;0.4;0.4;0.1;0.6;1.3;3.8;5634257
182;Zeke Nnaji;PF;21;DEN;41;1;17.0;2.3;4.5;0.9;2.0;1.4;2.6;.616;1.0;1.6;1.4;2.2;3.6;0.4;0.4;0.3;0.6;1.9;6.6;4306281
183;Jusuf Nurkić;C;27;POR;56;56;28.2;5.7;10.7;0.3;1.0;5.5;9.7;.548;3.3;4.8;3.0;8.1;11.1;2.8;1.1;0.6;2.6;3.4;15.0;16875000
184;Jordan Nwora;SF;23;MIL;62;13;19.1;3.0;7.5;1.3;3.7;1.7;3.8;.488;0.6;0.7;0.6;3.0;3.6;1.0;0.4;0.3;0.9;1.3;7.9;3000000
185;Royce O'Neale;SF;28;UTA;77;77;31.2;2.6;5.8;1.5;4.0;1.1;1.8;.591;0.6;0.7;0.8;3.9;4.8;2.5;1.1;0.4;1.0;2.4;7.4;9500000
186;Chuma Okeke;PF;23;ORL;70;20;25.0;3.1;8.2;1.7;5.3;1.4;2.9;.478;0.8;0.9;0.7;4.3;5.0;1.7;1.4;0.6;0.8;1.4;8.6;5266713
187;Onyeka Okongwu;C;21;ATL;48;6;20.7;3.3;4.7;0.0;0.0;3.3;4.7;.690;1.7;2.3;2.4;3.5;5.9;1.1;0.6;1.3;0.9;3.1;8.2;8109063
188;Isaac Okoro;SF;21;CLE;67;61;29.6;3.1;6.4;0.8;2.3;2.3;4.1;.544;1.8;2.3;1.1;1.9;3.0;1.8;0.8;0.3;0.9;2.4;8.8;8920795
189;Victor Oladipo;SG;29;MIA;8;1;21.6;4.4;9.1;1.9;4.5;2.5;4.6;.582;1.8;2.4;0.4;2.5;2.9;3.5;0.6;0.1;2.0;1.6;12.4;9450000
190;Kelly Olynyk;C;30;DET;40;1;19.1;3.2;7.2;1.0;3.0;2.2;4.2;.517;1.7;2.2;1.4;3.1;4.4;2.8;0.8;0.5;1.5;2.5;9.1;12195122
191;Cedi Osman;SF;26;CLE;66;3;22.2;3.7;8.7;1.9;5.4;1.8;3.2;.544;1.3;2.0;0.4;1.8;2.2;2.0;0.8;0.2;1.0;1.9;10.7;6718842
192;Chris Paul;PG;36;PHO;65;65;32.9;5.6;11.3;1.0;3.1;4.6;8.3;.536;2.6;3.1;0.3;4.0;4.4;10.8;1.9;0.3;2.4;2.1;14.7;30800000
193;Cameron Payne;PG;27;PHO;58;12;22.0;4.1;10.1;1.2;3.6;2.9;6.5;.469;1.3;1.5;0.4;2.6;3.0;4.9;0.7;0.3;1.8;2.1;10.8;6500000
194;Gary Payton II;SG;29;GSW;71;16;17.6;3.0;4.8;0.6;1.7;2.4;3.2;.679;0.5;0.8;1.0;2.5;3.5;0.9;1.4;0.3;0.6;1.8;7.1;8715000
195;Aleksej Pokusevski;PF;20;OKC;61;12;20.2;3.0;7.5;0.9;3.2;2.1;4.2;.470;0.6;0.8;1.2;4.0;5.2;2.1;0.6;0.6;1.5;1.4;7.6;5009633
196;Jordan Poole;SG;22;GSW;76;51;30.0;6.2;13.9;2.8;7.6;3.5;6.3;.548;3.2;3.5;0.4;3.0;3.4;4.0;0.8;0.3;2.5;2.7;18.5;28705357
197;Kevin Porter Jr.;PG;21;HOU;61;61;31.3;5.5;13.2;2.5;6.8;3.0;6.5;.511;2.0;3.2;0.7;3.7;4.4;6.2;1.1;0.4;3.1;2.6;15.6;18239000
198;Michael Porter Jr.;SF;23;DEN;9;9;29.4;4.1;11.4;1.1;5.3;3.0;6.1;.408;0.6;1.0;1.0;5.6;6.6;1.9;1.1;0.2;1.3;1.8;9.9;33386850
199;Otto Porter Jr.;PF;28;GSW;63;15;22.2;3.1;6.6;1.3;3.4;1.8;3.2;.560;0.8;1.0;1.4;4.4;5.7;1.5;1.1;0.5;0.6;1.3;8.2;6300000
200;Bobby Portis;C;26;MIL;72;59;28.2;5.8;12.1;1.8;4.7;3.9;7.4;.555;1.2;1.6;2.5;6.6;9.1;1.2;0.7;0.7;1.3;2.4;14.6;11710818
201;Kristaps Porziņģis;PF;26;TOT;51;51;29.0;6.9;15.0;1.5;4.9;5.4;10.1;.510;4.9;5.6;2.0;6.1;8.1;2.3;0.7;1.6;1.6;2.7;20.2;36016200
202;Norman Powell;SF-SG;28;TOT;45;41;32.4;6.2;13.4;2.4;5.6;3.8;7.8;.549;4.2;5.2;0.4;2.8;3.2;2.1;0.9;0.5;1.5;2.4;19.0;18000000
203;Joshua Primo;SF;19;SAS;50;16;19.3;2.0;5.4;0.8;2.7;1.2;2.7;.452;0.9;1.2;0.6;1.6;2.3;1.6;0.4;0.5;1.1;1.6;5.8;4341600
204;Payton Pritchard;PG;24;BOS;71;2;14.1;2.3;5.3;1.4;3.5;0.8;1.8;.564;0.3;0.3;0.5;1.4;1.9;2.0;0.4;0.1;0.6;0.9;6.2;4037277
205;Immanuel Quickley;PG;22;NYK;78;3;23.1;3.6;9.3;1.8;5.1;1.9;4.2;.487;2.3;2.6;0.4;2.8;3.2;3.5;0.7;0.0;1.3;2.1;11.3;4171548
206;Julius Randle;PF;27;NYK;72;72;35.3;7.1;17.3;1.7;5.4;5.4;11.9;.459;4.2;5.6;1.7;8.2;9.9;5.1;0.7;0.5;3.4;2.8;20.1;25660800
207;Naz Reid;C;22;MIN;77;6;15.8;3.0;6.2;0.7;2.2;2.3;4.0;.549;1.5;1.9;1.3;2.6;3.9;0.9;0.5;0.9;1.1;2.2;8.3;12950400
208;Duncan Robinson;SG;27;MIA;79;68;25.9;3.7;9.2;2.9;7.9;0.7;1.3;.559;0.6;0.8;0.3;2.3;2.6;1.6;0.5;0.2;0.8;2.5;10.9;18154000
209;Mitchell Robinson;C;23;NYK;72;62;25.7;3.6;4.8;0.0;0.0;3.6;4.8;.761;1.2;2.5;4.1;4.5;8.6;0.5;0.8;1.8;0.8;2.7;8.5;15681818
210;Jeremiah Robinson-Earl;C;21;OKC;49;36;22.2;2.7;6.6;1.2;3.4;1.6;3.2;.503;0.8;1.1;1.5;4.1;5.6;1.0;0.6;0.3;0.8;1.5;7.5;1900000
211;Terry Rozier;SG;27;CHO;73;73;33.7;7.1;16.0;3.0;8.1;4.1;7.9;.539;2.1;2.4;0.8;3.5;4.3;4.5;1.3;0.3;1.3;1.6;19.3;23205221
212;Ricky Rubio;PG;31;CLE;34;8;28.5;4.4;12.1;1.7;5.1;2.6;7.0;.434;2.6;3.0;0.4;3.7;4.1;6.6;1.4;0.2;2.6;2.2;13.1;6146342
213;Domantas Sabonis;PF;25;TOT;62;61;34.5;7.1;12.5;0.6;2.0;6.5;10.5;.598;4.0;5.4;3.2;8.9;12.1;5.2;1.0;0.4;3.1;3.3;18.9;22000000
214;Alperen Şengün;C;19;HOU;72;13;20.7;3.5;7.3;0.4;1.6;3.1;5.7;.502;2.3;3.2;1.9;3.5;5.5;2.6;0.8;0.9;2.0;3.0;9.6;3536280
215;Collin Sexton;SG;23;CLE;11;11;28.7;6.2;13.7;1.0;4.1;5.2;9.6;.487;2.6;3.5;1.2;2.1;3.3;2.1;0.9;0.0;2.8;2.3;16.0;17325000
216;Landry Shamet;SG;24;PHO;69;14;20.8;2.8;7.0;1.8;4.8;1.0;2.2;.521;1.0;1.2;0.2;1.6;1.8;1.6;0.4;0.1;0.6;1.3;8.3;10250000
217;Day'Ron Sharpe;PF;20;BRK;32;8;12.2;2.7;4.7;0.1;0.2;2.6;4.4;.584;0.8;1.3;2.5;2.5;5.0;0.5;0.3;0.5;0.9;1.9;6.2;2210040
218;Pascal Siakam;PF;27;TOR;68;68;37.9;8.8;17.8;1.1;3.2;7.7;14.5;.525;4.2;5.6;1.9;6.6;8.5;5.3;1.3;0.6;2.7;3.3;22.8;37893408
219;Anfernee Simons;SG;22;POR;57;30;29.5;6.2;14.0;3.1;7.8;3.1;6.2;.555;1.8;2.0;0.5;2.2;2.6;3.9;0.5;0.1;2.0;1.9;17.3;24107143
220;Jericho Sims;PF;23;NYK;41;5;13.5;1.0;1.3;0.0;0.0;1.0;1.3;.722;0.3;0.7;1.5;2.6;4.1;0.5;0.3;0.5;0.5;1.6;2.2;1927896
221;Marcus Smart;PG;27;BOS;71;71;32.3;4.2;10.1;1.7;5.1;2.5;5.0;.501;2.0;2.5;0.6;3.2;3.8;5.9;1.7;0.3;2.2;2.3;12.1;18583713
222;Jalen Smith;PF;21;TOT;51;8;18.1;3.5;6.9;0.8;2.4;2.7;4.5;.560;1.5;2.0;2.0;4.0;6.0;0.5;0.3;0.8;0.8;1.9;9.2;5043773
223;Jaden Springer;SG;19;PHI;2;0;3.0;0.5;0.5;0.0;0.0;0.5;0.5;1.000;0.0;0.0;0.5;0.5;1.0;0.0;0.0;1.0;0.5;0.0;1.0;2226240
224;Nik Stauskas;SG;28;TOT;8;0;4.9;0.6;1.8;0.5;1.3;0.1;0.5;.500;0.5;0.8;0.1;0.3;0.4;0.3;0.0;0.0;0.1;0.1;2.3;702311
225;Lamar Stevens;PF;24;CLE;63;13;16.1;2.5;5.1;0.3;1.0;2.2;4.0;.517;0.8;1.2;0.7;1.9;2.6;0.7;0.5;0.3;0.7;1.7;6.1;400000
226;Isaiah Stewart;C;20;DET;71;71;25.6;3.5;6.9;0.2;0.6;3.3;6.3;.526;1.0;1.5;3.2;5.5;8.7;1.2;0.3;1.1;1.2;3.0;8.3;5266713
227;Jalen Suggs;PG;20;ORL;48;45;27.2;4.1;11.4;0.9;4.1;3.3;7.3;.400;2.6;3.4;0.5;3.0;3.6;4.4;1.2;0.4;3.0;3.0;11.8;7252080
228;Jae'Sean Tate;PF;26;HOU;78;77;26.4;4.7;9.3;0.8;2.6;3.8;6.8;.541;1.7;2.4;1.7;3.7;5.4;2.8;0.9;0.5;1.8;3.7;11.8;6500000
229;Jayson Tatum;SF;23;BOS;76;76;35.9;9.3;20.6;3.0;8.6;6.3;12.0;.526;5.3;6.2;1.1;6.9;8.0;4.4;1.0;0.6;2.9;2.3;26.9;32600060
230;Daniel Theis;C;29;TOT;47;27;20.8;3.2;6.2;0.7;2.3;2.5;3.9;.576;1.0;1.5;1.3;3.6;4.9;0.9;0.4;0.7;1.0;2.4;8.2;9108387
231;Cam Thomas;SG;20;BRK;67;2;17.6;3.3;7.5;0.7;2.6;2.6;4.9;.480;1.3;1.6;0.2;2.2;2.4;1.2;0.5;0.1;0.8;1.0;8.5;2240160
232;Klay Thompson;SG;31;GSW;32;32;29.4;7.7;17.9;3.6;9.3;4.1;8.7;.529;1.4;1.6;0.5;3.4;3.9;2.8;0.5;0.5;1.3;1.7;20.4;43219440
233;JT Thor;PF;19;CHO;33;0;7.9;0.7;1.7;0.2;0.8;0.5;0.8;.500;0.4;0.6;0.3;1.0;1.3;0.6;0.2;0.3;0.3;0.8;2.0;1836096
234;Xavier Tillman Sr.;PF;23;MEM;53;2;13.2;1.8;4.1;0.2;0.9;1.7;3.2;.477;0.9;1.3;1.2;1.8;3.0;1.2;0.9;0.3;0.6;1.2;4.8;1930681
235;Isaiah Todd;PF;20;WAS;12;0;6.2;0.6;2.2;0.3;1.3;0.3;0.8;.346;0.2;0.5;0.3;0.8;1.0;0.3;0.3;0.2;0.3;0.3;1.7;1836096
236;Obi Toppin;PF;23;NYK;72;10;17.1;3.5;6.6;0.7;2.3;2.8;4.2;.586;1.3;1.7;1.0;2.8;3.7;1.1;0.3;0.5;0.8;1.4;9.0;6803012
237;Karl-Anthony Towns;C;26;MIN;74;74;33.5;8.7;16.4;2.0;4.9;6.6;11.5;.591;5.2;6.3;2.6;7.2;9.8;3.6;1.0;1.1;3.1;3.6;24.6;36016200
238;Gary Trent Jr.;SG;23;TOR;70;69;35.0;6.4;15.5;3.0;7.8;3.4;7.7;.511;2.5;2.9;0.4;2.4;2.7;2.0;1.7;0.3;1.0;2.1;18.3;18785000
239;P.J. Tucker;PF;36;MIA;71;70;27.9;2.9;6.0;1.1;2.7;1.8;3.3;.577;0.6;0.9;1.4;4.0;5.5;2.1;0.8;0.2;0.9;2.3;7.6;11014500
240;Myles Turner;C;25;IND;42;42;29.4;4.8;9.4;1.5;4.4;3.3;5.0;.587;1.9;2.5;1.5;5.5;7.1;1.0;0.7;2.8;1.3;2.8;12.9;20975000
241;Jonas Valančiūnas;C;29;NOP;74;74;30.3;6.9;12.7;0.8;2.1;6.1;10.5;.574;3.2;3.9;3.1;8.3;11.4;2.6;0.6;0.8;2.4;3.3;17.8;15435000
242;Jarred Vanderbilt;PF;22;MIN;74;67;25.4;2.9;4.9;0.0;0.2;2.8;4.7;.590;1.2;1.8;2.9;5.5;8.4;1.3;1.3;0.6;1.0;2.4;6.9;4698000
243;Devin Vassell;SF;21;SAS;71;32;27.3;4.6;10.8;1.9;5.4;2.7;5.4;.516;1.2;1.4;0.6;3.7;4.3;1.9;1.1;0.6;0.8;2.0;12.3;5887899
244;Nikola Vučević;C;31;CHI;73;73;33.1;7.5;15.8;1.4;4.5;6.1;11.3;.518;1.3;1.7;1.9;9.1;11.0;3.2;1.0;1.0;1.9;2.5;17.6;20000000
245;Dean Wade;PF;25;CLE;51;28;19.2;1.9;4.3;1.0;2.8;0.9;1.5;.574;0.4;0.6;0.6;2.3;2.9;1.0;0.6;0.1;0.3;1.7;5.3;5709877
246;Franz Wagner;SF;20;ORL;79;79;30.7;5.8;12.3;1.2;3.4;4.6;8.9;.517;2.4;2.8;1.1;3.4;4.5;2.9;0.9;0.4;1.5;2.1;15.2;5508720
247;Ish Wainright;PF;27;PHO;45;0;8.0;0.9;2.3;0.4;1.3;0.5;1.0;.486;0.2;0.3;0.6;0.6;1.2;0.3;0.4;0.1;0.3;1.1;2.4;1927896
248;Trendon Watford;SF;21;POR;48;10;18.1;3.0;5.6;0.2;0.8;2.8;4.8;.549;1.5;2.0;1.2;3.0;4.1;1.7;0.5;0.6;0.9;2.4;7.6;1836096
249;Derrick White;SG;27;TOT;75;52;29.3;4.5;10.7;1.5;4.9;3.0;5.7;.493;2.7;3.1;0.5;3.0;3.5;4.9;0.9;0.8;1.6;2.3;13.2;18107143
250;Derrick White;SG;27;SAS;49;48;30.3;5.0;11.6;1.7;5.3;3.3;6.4;.497;2.8;3.3;0.5;3.0;3.5;5.6;1.0;0.9;1.8;2.4;14.4;18107143
251;Derrick White;SG;27;BOS;26;4;27.4;3.6;8.8;1.3;4.3;2.3;4.6;.483;2.5;2.9;0.5;2.9;3.4;3.5;0.6;0.6;1.2;2.2;11.0;18107143
252;Aaron Wiggins;SG;23;OKC;50;35;24.2;3.1;6.7;0.8;2.8;2.3;4.0;.525;1.2;1.7;1.0;2.5;3.6;1.4;0.6;0.2;1.1;1.9;8.3;1836096
253;Andrew Wiggins;SF;26;GSW;73;73;31.9;6.5;14.0;2.2;5.5;4.4;8.5;.543;2.0;3.2;1.2;3.3;4.5;2.2;1.0;0.7;1.5;2.2;17.2;24330357
254;Kenrich Williams;SF;27;OKC;49;0;21.9;3.0;6.5;0.8;2.5;2.1;4.0;.525;0.6;1.1;1.5;3.0;4.5;2.2;0.9;0.2;0.9;1.7;7.4;6175000
255;Patrick Williams;PF;20;CHI;17;9;24.8;3.2;6.0;0.9;1.7;2.3;4.3;.603;1.8;2.4;1.0;3.1;4.1;0.9;0.5;0.5;0.9;1.6;9.0;9835881
256;Robert Williams;C;24;BOS;61;61;29.6;4.4;6.0;0.0;0.0;4.4;6.0;.736;1.1;1.5;3.9;5.7;9.6;2.0;0.9;2.2;1.0;2.2;10.0;11812501
257;Ziaire Williams;SF;20;MEM;62;31;21.7;3.1;6.8;1.2;3.9;1.9;2.9;.540;0.7;0.9;0.4;1.7;2.1;1.0;0.6;0.2;0.7;1.8;8.1;4810200
258;Delon Wright;SG;29;ATL;77;8;18.9;1.6;3.5;0.6;1.5;1.0;2.0;.535;0.7;0.8;0.6;2.2;2.9;2.4;1.2;0.2;0.6;0.7;4.4;8195122
259;Thaddeus Young;PF;33;TOT;52;1;16.3;2.7;5.2;0.3;0.9;2.4;4.3;.550;0.4;0.9;1.5;2.5;4.0;2.0;1.0;0.3;1.0;1.6;6.2;8000000
260;Trae Young;PG;23;ATL;76;76;34.9;9.4;20.3;3.1;8.0;6.3;12.3;.536;6.6;7.3;0.7;3.1;3.7;9.7;0.9;0.1;4.0;1.7;28.4;40064220
261;Ivica Zubac;C;24;LAC;76;76;24.4;4.1;6.5;0.0;0.0;4.1;6.5;.626;2.2;3.0;2.9;5.6;8.5;1.6;0.5;1.0;1.5;2.7;10.3;10933333
