Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;3P;3PA;2P;2PA;eFG%;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Salary_23-24
55;Pat Connaughton;SF;29;MIL;65;19;26.0;3.5;7.6;2.2;5.7;1.2;1.9;.605;0.7;0.8;0.7;3.5;4.2;1.3;0.9;0.2;0.5;1.3;9.9;9423869
56;Robert Covington;PF;31;TOT;71;42;27.3;2.9;7.0;1.8;4.8;1.1;2.2;.548;0.8;1.0;0.8;4.7;5.5;1.3;1.5;1.3;1.1;2.7;8.5;11692308
57;Cade Cunningham;SG;20;DET;64;64;32.6;6.7;16.1;1.8;5.7;4.9;10.4;.471;2.2;2.6;0.9;4.6;5.5;5.6;1.2;0.7;3.7;3.1;17.4;11055360
58;Stephen Curry;PG;33;GSW;64;64;34.5;8.4;19.1;4.5;11.7;3.9;7.4;.554;4.3;4.7;0.5;4.7;5.2;6.3;1.3;0.4;3.2;2.0;25.5;51915615
59;Anthony Davis;C;28;LAL;40;40;35.1;9.3;17.4;0.3;1.8;8.9;15.6;.542;4.4;6.1;2.7;7.2;9.9;3.1;1.2;2.3;2.1;2.4;23.2;40600080
60;Dewayne Dedmon;C;32;MIA;67;15;15.9;2.4;4.3;0.3;0.7;2.2;3.6;.598;1.1;1.5;1.6;4.2;5.8;0.7;0.4;0.6;1.0;2.6;6.3;7190667
61;DeMar DeRozan;PF;32;CHI;76;76;36.1;10.2;20.2;0.7;1.9;9.5;18.3;.521;6.8;7.8;0.7;4.4;5.2;4.9;0.9;0.3;2.4;2.3;27.9;28600000
62;Spencer Dinwiddie;PG;28;TOT;67;51;29.6;4.6;11.0;1.7;4.9;2.9;6.0;.493;2.9;3.8;0.7;3.5;4.2;5.2;0.7;0.2;1.6;2.2;13.7;20357143
63;Luka Dončić;PG;22;DAL;65;65;35.4;9.9;21.6;3.1;8.8;6.8;12.8;.529;5.6;7.5;0.9;8.3;9.1;8.7;1.2;0.6;4.5;2.2;28.4;40064220
64;Luguentz Dort;SG;22;OKC;51;51;32.6;5.7;14.2;2.5;7.7;3.2;6.6;.493;3.2;3.7;0.7;3.4;4.2;1.7;0.9;0.4;1.7;2.9;17.2;15277778
65;Andre Drummond;C;28;TOT;73;36;19.7;3.4;5.9;0.0;0.0;3.4;5.9;.570;1.2;2.2;3.1;6.2;9.3;1.8;1.1;0.9;1.6;2.6;7.9;3360000
66;Chris Duarte;SG;24;IND;55;39;28.0;4.9;11.3;1.7;4.6;3.2;6.7;.507;1.6;2.0;0.7;3.4;4.1;2.1;1.0;0.2;1.6;1.7;13.1;4124400
67;Kris Dunn;PG;27;POR;14;3;24.0;3.1;7.3;0.1;0.8;3.1;6.5;.436;1.2;1.3;0.6;2.9;3.5;5.6;1.6;0.2;2.3;2.7;7.6;2586665
68;Kevin Durant;PF;33;BRK;55;55;37.2;10.5;20.3;2.1;5.5;8.4;14.8;.570;6.8;7.4;0.5;6.9;7.4;6.4;0.9;0.9;3.5;2.1;29.9;47649433
69;Anthony Edwards;SG;20;MIN;72;72;34.3;7.6;17.3;3.0;8.4;4.6;8.9;.527;3.1;3.9;0.9;3.9;4.8;3.8;1.5;0.6;2.6;2.3;21.3;13534817
70;Kessler Edwards;SF;21;BRK;48;23;20.6;2.3;5.6;1.0;2.8;1.3;2.7;.502;0.3;0.4;0.9;2.7;3.6;0.6;0.6;0.5;0.9;1.8;5.9;1927896
71;Joel Embiid;C;27;PHI;68;68;33.8;9.8;19.6;1.4;3.7;8.4;15.9;.534;9.6;11.8;2.1;9.6;11.7;4.2;1.1;1.5;3.1;2.7;30.6;46900000
72;Bruno Fernando;C;23;TOT;30;0;5.1;1.2;1.8;0.0;0.1;1.2;1.8;.664;0.5;0.8;0.6;1.2;1.8;0.2;0.0;0.4;0.5;0.8;2.9;2581522
73;Dorian Finney-Smith;PF;28;DAL;80;80;33.1;4.1;8.7;2.2;5.4;1.9;3.2;.595;0.7;1.0;1.5;3.2;4.7;1.9;1.1;0.5;1.0;2.3;11.0;13932008
74;Malik Fitts;PF;24;TOT;15;0;4.2;0.5;1.3;0.3;0.7;0.2;0.6;.553;0.0;0.0;0.1;1.0;1.1;0.3;0.0;0.0;0.1;0.3;1.4;555217
75;Malachi Flynn;PG;23;TOR;44;5;12.2;1.6;4.2;0.7;2.0;1.0;2.1;.475;0.3;0.5;0.2;1.2;1.4;1.6;0.5;0.1;0.3;1.0;4.3;3873025
76;Evan Fournier;SG;29;NYK;80;80;29.5;5.0;12.1;3.0;7.7;2.0;4.3;.541;1.0;1.4;0.4;2.2;2.6;2.1;1.0;0.3;1.3;2.3;14.1;18857143
77;De'Aaron Fox;PG;24;SAC;59;59;35.3;8.7;18.5;1.3;4.2;7.5;14.3;.506;4.4;5.9;0.4;3.5;3.9;5.6;1.2;0.4;2.8;2.9;23.2;32600060
78;Markelle Fultz;PG;23;ORL;18;3;20.0;4.6;9.7;0.2;0.9;4.4;8.8;.486;1.4;1.7;0.2;2.5;2.7;5.5;1.1;0.3;2.2;1.2;10.8;17000000
79;Daniel Gafford;C;23;WAS;72;53;20.1;4.0;5.7;0.0;0.0;4.0;5.7;.693;1.5;2.1;2.2;3.5;5.7;0.9;0.4;1.4;0.9;2.4;9.4;12402000
80;Danilo Gallinari;PF;33;ATL;66;18;25.3;3.9;9.0;1.7;4.5;2.2;4.6;.528;2.1;2.4;0.5;4.1;4.7;1.5;0.4;0.2;0.6;1.4;11.7;6802950
81;Darius Garland;PG;22;CLE;68;68;35.7;8.0;17.3;2.6;6.7;5.4;10.6;.536;3.2;3.5;0.6;2.7;3.3;8.6;1.3;0.1;3.6;1.7;21.7;33500000
82;Usman Garuba;PF;19;HOU;24;2;10.0;0.8;1.8;0.2;0.8;0.6;1.0;.489;0.2;0.3;0.9;2.6;3.5;0.7;0.4;0.5;0.3;1.2;2.0;2588400
83;Rudy Gay;PF;35;UTA;55;1;18.9;2.9;6.9;1.3;3.7;1.6;3.2;.507;1.1;1.4;1.0;3.4;4.4;1.0;0.5;0.3;0.9;1.7;8.1;6479000
84;Paul George;PF;31;LAC;31;31;34.7;8.6;20.5;2.9;8.3;5.7;12.2;.493;4.1;4.8;0.4;6.5;6.9;5.7;2.2;0.4;4.1;2.4;24.3;45640084
85;Josh Giddey;SF;19;OKC;54;54;31.5;5.2;12.4;1.0;3.9;4.2;8.5;.461;1.0;1.5;1.8;6.0;7.8;6.4;0.9;0.4;3.2;1.6;12.5;6587040
86;Shai Gilgeous-Alexander;PG;23;OKC;56;56;34.7;8.5;18.8;1.6;5.3;6.9;13.5;.496;5.9;7.2;0.7;4.3;5.0;5.9;1.3;0.8;2.8;2.5;24.5;33386850
87;Anthony Gill;PF;29;WAS;44;0;10.5;1.4;2.5;0.3;0.6;1.1;1.9;.633;1.0;1.2;0.8;1.2;1.9;0.6;0.1;0.3;0.4;1.3;4.1;1997238
88;Rudy Gobert;C;29;UTA;66;66;32.1;5.5;7.7;0.0;0.1;5.5;7.6;.713;4.6;6.7;3.7;11.0;14.7;1.1;0.7;2.1;1.8;2.7;15.6;41000000
89;Jordan Goodwin;SG;23;WAS;2;0;3.0;0.0;1.5;0.0;0.5;0.0;1.0;.000;0.0;0.0;0.0;0.5;0.5;0.0;0.0;0.0;0.0;0.5;0.0;1927896
90;Aaron Gordon;PF;26;DEN;75;75;31.7;5.8;11.1;1.2;3.5;4.6;7.7;.573;2.3;3.1;1.7;4.2;5.9;2.5;0.6;0.6;1.8;2.0;15.0;21266182
91;Devonte' Graham;PG;26;NOP;76;63;28.4;3.9;10.7;2.5;7.4;1.4;3.3;.481;1.6;1.8;0.5;1.8;2.3;4.2;0.9;0.2;1.4;1.3;11.9;12100000
92;Jalen Green;SG;19;HOU;67;67;31.9;6.1;14.2;2.3;6.8;3.7;7.4;.508;2.8;3.5;0.5;2.9;3.4;2.6;0.7;0.3;2.0;1.5;17.3;9891480
93;Josh Green;SG;21;DAL;67;3;15.5;1.9;3.8;0.4;1.2;1.5;2.7;.563;0.5;0.7;0.8;1.6;2.4;1.2;0.7;0.2;0.7;1.7;4.8;4765339
94;Quentin Grimes;SG;21;NYK;46;6;17.1;2.1;5.1;1.6;4.1;0.5;1.0;.557;0.3;0.4;0.5;1.5;2.0;1.0;0.7;0.2;0.6;1.6;6.0;2385720
95;Tyrese Haliburton;SG-PG;21;TOT;77;77;35.0;5.6;11.8;2.1;5.1;3.5;6.8;.562;2.1;2.5;0.8;3.2;4.0;8.2;1.7;0.6;2.6;1.6;15.3;5808435
96;Tim Hardaway Jr.;SG;29;DAL;42;20;29.6;5.0;12.6;2.4;7.2;2.5;5.4;.491;1.9;2.5;0.3;3.4;3.7;2.2;0.9;0.1;0.8;1.8;14.2;17897728
97;James Harden;PG;32;TOT;65;65;37.2;6.3;15.3;2.3;6.9;4.0;8.4;.485;7.2;8.2;0.8;6.8;7.7;10.3;1.3;0.6;4.4;2.4;22.0;35640000
